Date,AAPL,GOOGL,MSFT,AMZN,META
2023-01-01,130.0,90.0,240.0,85.0,120.0
2023-01-02,131.0985925983719,89.42202283554495,241.0400457795751,84.99028181381541,119.69447620228284
2023-01-03,130.9577973616182,89.85425890827644,237.5560615288175,85.2514317762451,116.53040524600722
2023-01-04,132.3610531238703,89.94650897052529,239.39285547074513,81.97231953725677,116.05280402132784
2023-01-05,135.5172617129931,90.17660741103963,233.1587452861713,83.59754811559351,113.93931418439189
2023-01-06,135.17680161225564,88.99401550050318,237.2778419741633,84.30225617847452,112.54110607923253
2023-01-07,134.83723013917364,89.10447337180615,239.3567659565225,86.11139964174416,114.05464045452476
2023-01-08,138.16611759696238,89.97448670917032,240.62451326277554,81.25255465448302,118.30179564717022
2023-01-09,139.89478587010134,92.3966525210854,244.69661531388456,84.76814908324947,119.38813425970905
2023-01-10,139.04952537559345,94.06597128054763,251.51082660348942,84.65864621867567,116.30679488031718
2023-01-11,140.3202156491949,97.78696564335317,255.89464045196635,86.66197932855962,117.50257512714762
2023-01-12,139.48513280597763,96.51453660003226,248.6645964278063,84.98956617834848,120.6546866002112
2023-01-13,138.65018229085697,98.10719742566764,243.87202610301324,86.15863829474962,119.09640430878524
2023-01-14,139.29205416904995,98.50945224996919,241.7266601745057,84.47265924256097,118.80481133227893
2023-01-15,135.43377519102728,102.47115298652884,242.11764260556166,83.54553977416595,118.90260435842458
2023-01-16,132.06502695694485,101.06223927828528,244.41353388404013,86.86903373589676,116.90887368179952
2023-01-17,131.08321421830036,99.61553401435773,241.86872436362393,86.66804936840555,118.63470229635438
2023-01-18,129.22282005181228,98.6204677092859,242.88173545810173,87.17494110219926,118.37834940022822
2023-01-19,129.9611617695399,94.92909146890399,240.237694059925,88.82266557740688,119.53013685597861
2023-01-20,128.3210049747677,94.10666470429848,238.17542526291885,89.83645530713635,117.2560965720381
2023-01-21,125.73090252546854,92.89604006481744,233.10072209415227,90.24147201508265,116.18624226072697
2023-01-22,128.62079356552175,93.22183466672118,229.93714157938876,91.03552658491833,118.09081244165196
2023-01-23,128.3138214550343,93.86987627771927,225.24022623676748,95.54800394288702,117.18123811148742
2023-01-24,128.57210730648188,97.11505882069652,221.99361991178722,95.58121872787837,121.69191950029204
